method	artifact	bytes	sha256
ddpm	checkpoint.pt	574371661	6c46362d3e95953d4a85f41a7dc482c557c30d0a1ec330872202a0a296b5ef58
ddpm	samples/official_ddim.npy	122880128	c756da6d3cd23edbc9607f6678e1fbc6f2c1cdb6b8885dd0249dc60345ede9ad
ddpm	samples/generated_labels.npy	80128	d44535e1ab7a4097ebfbb159989e9d9ab3ef2b385722d287c5f2bd0375461a7f
ddpm	config.yaml	1744	39a0a8e9d380bd6e7300797f4937637dff5026d716141ea87b9efa5cd70d7365
ddpm	metrics.json	5236	df697220abc183cd6a7349570fe71c92e544958211c99e7471cd6d998768656d
cbdm	checkpoint.pt	574377933	a245d21ba40b3e8f2efef05126a01308c2ba80d3fbaff468e72da03f3942fefe
cbdm	samples/official_ddim.npy	122880128	44a48c3a8d4e6b0a2934e6e0563be4d04f08fafd94f5033cc8f2394d24116bcb
cbdm	samples/generated_labels.npy	80128	d44535e1ab7a4097ebfbb159989e9d9ab3ef2b385722d287c5f2bd0375461a7f
cbdm	config.yaml	1814	a12e4df5fdef879163a4f29ed746b8ad658fe4eb76c21f207e935a159b497da6
cbdm	metrics.json	5239	fd780ac8e64b7557b692ad52eb1ca83a0486efafd8cbe5a8587225b6ddae9a0f
oc	checkpoint.pt	574371149	c9eca60cb7090a15055a4f6f314e63ff8bbdc9280f067ab9fe5998007d197f7f
oc	samples/official_ddim.npy	122880128	193c9256f35a8ea2d1be652b8928b95fe15c20e2305c0187341ab151f58757db
oc	samples/generated_labels.npy	80128	d44535e1ab7a4097ebfbb159989e9d9ab3ef2b385722d287c5f2bd0375461a7f
oc	config.yaml	1737	f22d0b14a5f6660d79feaee8620e83b370b130e21e77a8eeb5a05e83242285d1
oc	metrics.json	5228	b38c3cf1d2ac7cd7d698543193e9fad7fa90109d6e59746340df15d37e373369
oc_capacity_only	checkpoint.pt	624537065	2bdcf07334efb84771f9ad1aeaf8eeedb4fbbaa6bd164386d4cb1cf7834e7196
oc_capacity_only	samples/official_ddim.npy	122880128	42d1ef3fc025821364ae41dfa8dfa304e8d9c1089aba4886339aebf61bc50a75
oc_capacity_only	samples/generated_labels.npy	80128	d44535e1ab7a4097ebfbb159989e9d9ab3ef2b385722d287c5f2bd0375461a7f
oc_capacity_only	config.yaml	1947	f115d62a30051471bd20b0c289c553f5612f33a2ede457ba482c3f4eec11209b
oc_capacity_only	metrics.json	5265	e5e96c977a01cd5d8195e33fb43524a46916a04f8f59dd50413d0cf3dd120321
pure_cm	checkpoint.pt	624534825	dba2197a2444440888768c516d37a4cb2a314654e58dee59c01ab60f09ddfc49
pure_cm	samples/official_ddim.npy	122880128	dd5ec58594214de94f7bc4de90eac0f14fa3568f447b75a114ce4f1df496da3b
pure_cm	samples/generated_labels.npy	80128	d44535e1ab7a4097ebfbb159989e9d9ab3ef2b385722d287c5f2bd0375461a7f
pure_cm	config.yaml	1921	f7422118e7d09636bcadb6da121954f1d0b6647f716427a98bfed6c9df36f5ad
pure_cm	metrics.json	5230	22e44fc13516af9241c8e3a7b99c838406a7163ddb1e7b34a2cf0f38acfb04f3
released_cm	checkpoint.pt	624535785	83feca1156443590736a366f40f9e5bee20d196ed2ac6323b4de33b4724858e9
released_cm	samples/official_ddim.npy	122880128	fce4d0d68c848e1a4454db4af41670e58d393d3546543d7de40ae8f7582ea601
released_cm	samples/generated_labels.npy	80128	d44535e1ab7a4097ebfbb159989e9d9ab3ef2b385722d287c5f2bd0375461a7f
released_cm	config.yaml	1932	ea5e8e76335e77bb91287c68036f6c80b39260005254c94f7bee4b8072aef2bf
released_cm	metrics.json	5246	fc4e3906839d1f0f0f0d8238098fba1a07fc4cc5a78f2b92469398294f2031e1
